Kilometres	Zone	Bonus	Make	Insured	Claims	Payment
1	3	4	1	338.37	19	136281
1	3	4	2	52.49	2	9253
1	3	4	3	27.97	0	0
1	3	4	4	571.94	23	142536
1	3	4	5	113.36	6	21433
1	3	4	6	406.33	21	131027
1	3	4	7	85.15	3	4079
1	3	4	8	16.16	1	1012
1	3	4	9	5123.78	217	994540
1	3	5	1	459.4	16	61958
1	3	5	2	73.51	2	5056
1	3	5	3	41.51	4	44278
1	3	5	4	517.24	8	18455
1	3	5	5	136.08	8	28248
1	3	5	6	417.71	11	15568
1	3	5	7	103.07	1	8347
1	3	5	8	26.11	1	1144
1	3	5	9	5849.14	242	1184032
1	3	6	1	1060.28	43	245621
1	3	6	2	124.82	7	12648
1	3	6	3	119.17	2	5855
1	3	6	4	639.97	12	64278
1	3	6	5	307.56	14	90310
1	3	6	6	740.33	24	117763
1	3	6	7	233.83	7	20303
1	3	6	8	53.41	3	6221
1	3	6	9	10263.04	393	2026554
1	3	7	1	7155.96	197	980780
1	3	7	2	999.32	32	168854
1	3	7	3	1049.99	19	41459
1	3	7	4	3712.23	67	229231
1	3	7	5	1862.44	74	388511
1	3	7	6	4964	121	622350
1	3	7	7	1785.23	58	253660
1	3	7	8	331.45	8	94395
1	3	7	9	65617.47	1865	9884008
1	4	1	1	868.6	115	627513
1	4	1	2	122.54	10	113492
1	4	1	3	55.08	3	33925
1	4	1	4	2751.7	98	578698
1	4	1	5	328.36	36	149698
1	4	1	6	1730.51	105	604161
1	4	1	7	231.91	13	55103
1	4	1	8	48.77	4	34267
1	4	1	9	20153.28	1446	6605073
1	4	2	1	622.23	41	300510
1	4	2	2	94.03	5	11936
1	4	2	3	36.73	2	6387
1	4	2	4	2037.95	48	152944
1	4	2	5	189.27	17	40047
1	4	2	6	1217.01	65	344450
1	4	2	7	155.5	16	113524
1	4	2	8	27.27	0	0
1	4	2	9	14648.2	645	3150912
1	4	3	1	613.17	32	168882
1	4	3	2	108.4	5	43676
1	4	3	3	37.2	0	0
1	4	3	4	1447.58	25	66208
1	4	3	5	168.81	8	30465
1	4	3	6	933.44	40	374818
1	4	3	7	153.11	5	38157
1	4	3	8	32.44	2	8234
1	4	3	9	11314.54	427	2035982
1	4	4	1	573.86	29	214513
1	4	4	2	103.82	4	12077
1	4	4	3	49.14	2	12947
1	4	4	4	970.81	20	77705
1	4	4	5	135.49	6	16781
1	4	4	6	740.62	25	87155
1	4	4	7	123.63	3	11469
1	4	4	8	36.98	1	2572
1	4	4	9	8785.71	291	1189357
1	4	5	1	783.1	28	97770
1	4	5	2	127.17	7	21026
1	4	5	3	86.26	4	15583
1	4	5	4	886.11	16	71474
1	4	5	5	200.68	14	74804
1	4	5	6	825.58	16	76879
1	4	5	7	185.36	3	6085
1	4	5	8	53.05	1	6827
1	4	5	9	9849.89	324	1672294
1	4	6	1	1839.13	72	505590
1	4	6	2	298.73	5	16182
1	4	6	3	234.01	8	42369
1	4	6	4	1047.27	22	147524
1	4	6	5	481.63	16	70430
1	4	6	6	1317.07	34	162323
1	4	6	7	360.55	9	127814
1	4	6	8	90.61	7	80134
1	4	6	9	17332.9	535	2833885
1	4	7	1	15297.44	389	2505764
1	4	7	2	2085.44	65	296375
1	4	7	3	2140.94	38	253490
1	4	7	4	6923.74	100	435674
1	4	7	5	3721.62	115	641018
1	4	7	6	10409.88	194	1070372
1	4	7	7	3252.99	86	317119
1	4	7	8	768.54	23	160411
1	4	7	9	127687.27	2894	15540162
1	5	1	1	161.19	22	112479
1	5	1	2	15.53	2	1668
1	5	1	3	6.07	0	0
1	5	1	4	454.21	15	61507
1	5	1	5	69.38	13	83497
1	5	1	6	301.14	21	87734
1	5	1	7	47.82	6	51950
1	5	1	8	10.84	0	0
1	5	1	9	3645.26	407	1855941
1	5	2	1	132.69	7	27325
1	5	2	2	17.31	1	1554
1	5	2	3	4.2	0	0
1	5	2	4	324.26	10	22854
1	5	2	5	51.8	4	40692
1	5	2	6	218.84	12	88266
1	5	2	7	39.68	3	38808
1	5	2	8	12.15	1	1029
1	5	2	9	2694.25	174	616744
1	5	3	1	122.86	8	51943
1	5	3	2	21.15	0	0
1	5	3	3	5.15	0	0
1	5	3	4	240.23	6	13492
1	5	3	5	38.15	6	16170
1	5	3	6	173.78	4	17523
1	5	3	7	30.43	2	6421
1	5	3	8	4.82	1	31442
1	5	3	9	1993.33	117	481752
1	5	4	1	116.24	3	7229
1	5	4	2	16.48	1	1000
1	5	4	3	9.31	1	9867
1	5	4	4	160.66	8	22404
1	5	4	5	27.77	4	8119
1	5	4	6	145.54	8	33299
1	5	4	7	30.23	0	0
1	5	4	8	7.77	1	2700
1	5	4	9	1592.59	74	364037
1	5	5	1	185.95	11	53110
1	5	5	2	23.75	2	4900
1	5	5	3	15.57	0	0
1	5	5	4	140.66	2	4876
1	5	5	5	41.71	1	7056
1	5	5	6	141.81	2	3200
1	5	5	7	44.08	3	64516
1	5	5	8	9.68	0	0
1	5	5	9	1752.09	86	299385
1	5	6	1	394.91	9	25994
1	5	6	2	55.35	3	7232
1	5	6	3	40.03	1	1373
1	5	6	4	177.67	4	6211
1	5	6	5	92.95	7	21706
1	5	6	6	244.32	8	41753
1	5	6	7	92.99	5	6674
1	5	6	8	22.62	2	1522
1	5	6	9	3251.89	165	774028
1	5	7	1	2257.49	80	452280
1	5	7	2	284.44	7	45614
1	5	7	3	300.78	9	55124
1	5	7	4	946.25	19	68243
1	5	7	5	583.99	18	113925
1	5	7	6	1332.39	38	138432
1	5	7	7	541.88	13	93691
1	5	7	8	125.14	5	46879
1	5	7	9	17722.19	589	2700050
1	6	1	1	340.1	31	75947
1	6	1	2	38.25	3	5658
1	6	1	3	16.23	0	0
1	6	1	4	767.66	30	187167
1	6	1	5	134.82	31	164961
1	6	1	6	585.23	44	309679
1	6	1	7	80.16	7	8237
1	6	1	8	29.87	4	35088
1	6	1	9	6744.61	542	2708623
1	6	2	1	233.67	20	159609
1	6	2	2	33.6	2	5403
1	6	2	3	14.01	0	0
1	6	2	4	563.21	7	12459
1	6	2	5	84.85	10	55348
1	6	2	6	436.38	14	72563
1	6	2	7	63.25	3	63976
1	6	2	8	13.61	0	0
1	6	2	9	4721.76	227	970016
1	6	3	1	230.77	10	97153
1	6	3	2	37.88	1	789
1	6	3	3	14.41	0	0
1	6	3	4	386.7	10	57758
1	6	3	5	76.88	5	14166
1	6	3	6	294.37	15	106215
1	6	3	7	57.46	3	41564
1	6	3	8	12.76	0	0
1	6	3	9	3558.48	131	785697
1	6	4	1	186.52	12	81889
1	6	4	2	31.99	3	2985
1	6	4	3	15.77	0	0
1	6	4	4	283.49	6	73962
1	6	4	5	57.53	5	20515
1	6	4	6	219.19	5	14794
1	6	4	7	45.35	4	38560
1	6	4	8	24.46	2	3138
1	6	4	9	2708.07	99	517218
1	6	5	1	253.84	20	105565
1	6	5	2	47.01	2	5207
1	6	5	3	28.29	0	0
1	6	5	4	259.21	1	31442
1	6	5	5	72.82	1	1742
1	6	5	6	252.17	8	74154
1	6	5	7	64.53	3	8546
1	6	5	8	22.19	1	2198
1	6	5	9	2936.87	87	641508
1	6	6	1	560.62	17	107765
1	6	6	2	88.23	0	0
1	6	6	3	55.88	3	4731
1	6	6	4	274.15	3	10929
1	6	6	5	186	9	16980
1	6	6	6	424.38	12	62560
1	6	6	7	141.38	4	39806
1	6	6	8	60.89	3	4512
1	6	6	9	5248.1	187	1066083
1	6	7	1	4492.77	136	727249
1	6	7	2	606.55	16	114290
1	6	7	3	561.04	21	128950
1	6	7	4	1799.95	29	191942
1	6	7	5	1203.92	48	118462
1	6	7	6	2874.45	70	422565
1	6	7	7	914.58	27	208821
1	6	7	8	347.4	15	131927
1	6	7	9	34969.21	886	5181284
1	7	1	1	23.96	4	9848
1	7	1	2	4.05	0	0
1	7	1	4	92.39	5	4642
1	7	1	5	7.36	0	0
1	7	1	6	29.72	0	0
1	7	1	7	4.29	1	1504
1	7	1	8	1.04	0	0
1	7	1	9	560.17	38	108198
1	7	2	1	20.83	1	2772
1	7	2	2	3.41	0	0
1	7	2	3	0.23	0	0
1	7	2	4	48.63	1	1980
1	7	2	5	2.1	0	0
1	7	2	6	20.84	5	12647
1	7	2	7	2.22	0	0
1	7	2	8	0.47	0	0
1	7	2	9	413.54	19	45789
1	7	3	1	17.42	0	0
1	7	3	2	2.38	0	0
1	7	3	3	0.5	0	0
1	7	3	4	46.18	1	756
1	7	3	5	3.31	0	0
1	7	3	6	13.92	1	2199
1	7	3	7	3.7	0	0
1	7	3	8	0.3	0	0
1	7	3	9	285.04	7	15229
1	7	4	1	13.24	0	0
1	7	4	2	2.31	1	5000
1	7	4	3	0.8	0	0
1	7	4	4	27.66	0	0
1	7	4	5	4.74	0	0
1	7	4	6	11.37	0	0
1	7	4	7	2.64	0	0
1	7	4	9	225.35	5	9681
1	7	5	1	19.87	0	0
1	7	5	2	5.74	1	3900
1	7	5	3	1.69	0	0
1	7	5	4	29.05	1	2913
1	7	5	5	3.59	0	0
1	7	5	6	14.42	1	3174
1	7	5	7	2.42	0	0
1	7	5	8	0.9	0	0
1	7	5	9	278.75	13	31522
1	7	6	1	41.17	1	3325
1	7	6	2	7.55	2	7963
1	7	6	3	1.56	0	0
1	7	6	4	36.23	1	1327
1	7	6	5	9.82	0	0
1	7	6	6	21.9	0	0
1	7	6	7	6.58	0	0
1	7	6	8	0.1	0	0
1	7	6	9	456.61	15	103527
1	7	7	1	294.57	3	8171
1	7	7	2	50.12	1	1510
1	7	7	3	26.06	0	0
1	7	7	4	216.41	4	65435
1	7	7	5	60.68	0	0
1	7	7	6	208.35	5	74182
1	7	7	7	46.47	0	0
1	7	7	8	9.5	0	0
1	7	7	9	3315.16	77	340189
2	1	1	1	638.51	148	578831
2	1	1	2	94.77	29	137355
2	1	1	3	126.87	29	137680
2	1	1	4	398.58	55	162678
2	1	1	5	167.88	41	73435
2	1	1	6	354.26	48	166416
2	1	1	7	95.57	11	21295
2	1	1	8	25.93	5	2059
2	1	1	9	6792.88	1410	6556534
2	1	2	1	605.01	86	484085
2	1	2	2	96.42	12	93305
2	1	2	3	94.57	12	62554
2	1	2	4	319.2	20	43734
2	1	2	5	152.42	24	10978
